	author	cell type	data	gse	paper	path fastq R1	path fastq R2	protocol short	rep	series	source	species	stage	title	treatment	running_mode	technical_rep
0	Jesse,R,Dixon	RAD21cv-HEK293	Feb-12-2013	GSE44267	Zuin-2013	/home/HIC_DB/META/GSE44267_SRA/Supp_GSM1081526_Hi-C__RAD21cv_HEK293__TEV_treated__replicate_one/SRR710058_pass_1.fastq.gz	/home/HIC_DB/META/GSE44267_SRA/Supp_GSM1081526_Hi-C__RAD21cv_HEK293__TEV_treated__replicate_one/SRR710058_pass_2.fastq.gz	Hi-C	1	GSM1081526	Hi-C,-RAD21cv-HEK293,-TEV-treated	Homo-sapiens	NA	Hi-C,-RAD21cv-HEK293,-TEV-treated,-replicate-one	TEV-treated	Zuin	1
1	Jesse,R,Dixon	RAD21cv-HEK293	Feb-12-2013	GSE44267	Zuin-2013	/home/HIC_DB/META/GSE44267_SRA/Supp_GSM1081526_Hi-C__RAD21cv_HEK293__TEV_treated__replicate_one/SRR710059_pass_1.fastq.gz	/home/HIC_DB/META/GSE44267_SRA/Supp_GSM1081526_Hi-C__RAD21cv_HEK293__TEV_treated__replicate_one/SRR710059_pass_2.fastq.gz	Hi-C	1	GSM1081526	Hi-C,-RAD21cv-HEK293,-TEV-treated	Homo-sapiens	NA	Hi-C,-RAD21cv-HEK293,-TEV-treated,-replicate-one	TEV-treated	Zuin	2
2	Jesse,R,Dixon	RAD21cv-HEK293	Feb-12-2013	GSE44267	Zuin-2013	/home/HIC_DB/META/GSE44267_SRA/Supp_GSM1081526_Hi-C__RAD21cv_HEK293__TEV_treated__replicate_one/SRR710060_pass_1.fastq.gz	/home/HIC_DB/META/GSE44267_SRA/Supp_GSM1081526_Hi-C__RAD21cv_HEK293__TEV_treated__replicate_one/SRR710060_pass_2.fastq.gz	Hi-C	1	GSM1081526	Hi-C,-RAD21cv-HEK293,-TEV-treated	Homo-sapiens	NA	Hi-C,-RAD21cv-HEK293,-TEV-treated,-replicate-one	TEV-treated	Zuin	3
3	Jesse,R,Dixon	RAD21cv-HEK293	Feb-12-2013	GSE44267	Zuin-2013	/home/HIC_DB/META/GSE44267_SRA/Supp_GSM1081527_Hi-C__RAD21cv_HEK293__TEV_treated__replicate_two/SRR710061_pass_1.fastq.gz	/home/HIC_DB/META/GSE44267_SRA/Supp_GSM1081527_Hi-C__RAD21cv_HEK293__TEV_treated__replicate_two/SRR710061_pass_2.fastq.gz	Hi-C	2	GSM1081527	Hi-C,-RAD21cv-HEK293,-TEV-treated	Homo-sapiens	NA	Hi-C,-RAD21cv-HEK293,-TEV-treated,-replicate-two	TEV-treated	Zuin	1
4	Jesse,R,Dixon	RAD21cv-HEK293	Feb-12-2013	GSE44267	Zuin-2013	/home/HIC_DB/META/GSE44267_SRA/Supp_GSM1081527_Hi-C__RAD21cv_HEK293__TEV_treated__replicate_two/SRR710062_pass_1.fastq.gz	/home/HIC_DB/META/GSE44267_SRA/Supp_GSM1081527_Hi-C__RAD21cv_HEK293__TEV_treated__replicate_two/SRR710062_pass_2.fastq.gz	Hi-C	2	GSM1081527	Hi-C,-RAD21cv-HEK293,-TEV-treated	Homo-sapiens	NA	Hi-C,-RAD21cv-HEK293,-TEV-treated,-replicate-two	TEV-treated	Zuin	2
5	Jesse,R,Dixon	RAD21cv-HEK293	Feb-12-2013	GSE44267	Zuin-2013	/home/HIC_DB/META/GSE44267_SRA/Supp_GSM1081527_Hi-C__RAD21cv_HEK293__TEV_treated__replicate_two/SRR710063_pass_1.fastq.gz	/home/HIC_DB/META/GSE44267_SRA/Supp_GSM1081527_Hi-C__RAD21cv_HEK293__TEV_treated__replicate_two/SRR710063_pass_2.fastq.gz	Hi-C	2	GSM1081527	Hi-C,-RAD21cv-HEK293,-TEV-treated	Homo-sapiens	NA	Hi-C,-RAD21cv-HEK293,-TEV-treated,-replicate-two	TEV-treated	Zuin	3
6	Jesse,R,Dixon	HEK293	Feb-12-2013	GSE44267	Zuin-2013	/home/HIC_DB/META/GSE44267_SRA/Supp_GSM1081531_Hi-C__HEK293_siRNA_Control__replicate_two/SRR710075_pass_1.fastq.gz	/home/HIC_DB/META/GSE44267_SRA/Supp_GSM1081531_Hi-C__HEK293_siRNA_Control__replicate_two/SRR710075_pass_2.fastq.gz	Hi-C	2	GSM1081531	Hi-C,-HEK293-siRNA-Control	Homo-sapiens	NA	Hi-C,-HEK293-siRNA-Control,-replicate-two	siRNA-Control	Zuin	1
7	Jesse,R,Dixon	HEK293	Feb-12-2013	GSE44267	Zuin-2013	/home/HIC_DB/META/GSE44267_SRA/Supp_GSM1081531_Hi-C__HEK293_siRNA_Control__replicate_two/SRR710076_pass_1.fastq.gz	/home/HIC_DB/META/GSE44267_SRA/Supp_GSM1081531_Hi-C__HEK293_siRNA_Control__replicate_two/SRR710076_pass_2.fastq.gz	Hi-C	2	GSM1081531	Hi-C,-HEK293-siRNA-Control	Homo-sapiens	NA	Hi-C,-HEK293-siRNA-Control,-replicate-two	siRNA-Control	Zuin	2
8	Jesse,R,Dixon	HEK293	Feb-12-2013	GSE44267	Zuin-2013	/home/HIC_DB/META/GSE44267_SRA/Supp_GSM1081531_Hi-C__HEK293_siRNA_Control__replicate_two/SRR710077_pass_1.fastq.gz	/home/HIC_DB/META/GSE44267_SRA/Supp_GSM1081531_Hi-C__HEK293_siRNA_Control__replicate_two/SRR710077_pass_2.fastq.gz	Hi-C	2	GSM1081531	Hi-C,-HEK293-siRNA-Control	Homo-sapiens	NA	Hi-C,-HEK293-siRNA-Control,-replicate-two	siRNA-Control	Zuin	3
9	Jesse,R,Dixon	HEK293	Feb-12-2013	GSE44267	Zuin-2013	/home/HIC_DB/META/GSE44267_SRA/Supp_GSM1081530_Hi-C__HEK293_siRNA_Control__replicate_one/SRR710071_pass_1.fastq.gz	/home/HIC_DB/META/GSE44267_SRA/Supp_GSM1081530_Hi-C__HEK293_siRNA_Control__replicate_one/SRR710071_pass_2.fastq.gz	Hi-C	1	GSM1081530	Hi-C,-HEK293-siRNA-Control	Homo-sapiens	NA	Hi-C,-HEK293-siRNA-Control,-replicate-one	siRNA-Control	Zuin	1
